item,marca,descripcion,precio_x_gramo,descuento,precio,link
1,FRITO LAY,Pasabocas FRITO LAY Mega Lonchera Surtida x22 (586  gr),28.34,35.0,16607.0,https://www.exito.com/surtido-mega-lonchera-frito-lay-586-gr-3090203
2,SANISSIMO,Rosquitas SANISSIMO Con chía y quinúa x6und (120  gr),115.0,N/A,13800.0,https://www.exito.com/rosquitas-sanissimo-sanissimo-120-gr-3071552
3,FRESCAMPO,Nachos FRESCAMPO sabor natural (180  gr),19.33,N/A,3480.0,https://www.exito.com/nachos-naturales-frescampo-180-gr-3103319
4,FRESCAMPO,Maní FRESCAMPO salado con pasas (200  gr),19.65,N/A,3930.0,https://www.exito.com/mani-con-pasas-frescampo-200-gr-3099422
5,FRITO LAY,Pasabocas FRITO LAY Lonchera Surtida x12und (271  gr),52.21,N/A,14150.0,https://www.exito.com/surtido-super-lonchera-x-12-und-frito-lay-271-gr-3090820
6,FRESCAMPO,Uvas pasas FRESCAMPO frutos deshidratados (200  gr),19.9,8.08,3980.0,https://www.exito.com/uvas-pasas-frescampo-200-gr-3075535
7,FRESCAMPO,Almendra Natural FRESCAMPO 200  gr,59.5,N/A,11900.0,https://www.exito.com/almendra-natural-frescampo-200-gr-3075530
8,BIMBO,Multipack Rosquitas BIMBO x8und (120  gr),104.58,N/A,12550.0,https://www.exito.com/multipack-rosquitas-bimbo-120-gr-3050603
9,CHEETOS,Pasabocas Chitos CHEETOS Natural (180  gr),66.58,19.56,11985.0,https://www.exito.com/cheetos-15-grs-x-12-unidades-471975
10,CHOCLITOS,Pasabocas CHOCLITOS Limón x12und 27gr (324  gr),447.22,29.39,12075.0,https://www.exito.com/choclito-limon-29-gr-x-12-unidades-429996
